# Logfile created on 2018-11-20 13:43:37 +0000 by logger.rb/56815
[2018-11-20T13:43:38+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2018-11-20T13:43:38+00:00] INFO: *** Chef 13.6.4 ***
[2018-11-20T13:43:38+00:00] INFO: Platform: x86_64-linux
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/deprecate-skip-auto-migrations.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/alertmanager_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
